i_header,i_label,i_data,title,link,coach_name,id,org,role_1,role_2,role,coach_role,year
Coaching career (HC unless noted),2018–2021,Incarnate Word,Incarnate Word Cardinals football,/wiki/Incarnate_Word_Cardinals_football,Eric Morris,Q5387136,Incarnate Word,,,HC,['HC'],"['2018', '2021']"
Coaching career (HC unless noted),2022,Washington State (OC/QB),Washington State Cougars football,/wiki/Washington_State_Cougars_football,Eric Morris,Q5387136,Washington State,OC/QB,,OC/QB,"['OC', 'QB']",['2022']
Coaching career (HC unless noted),2023–present,North Texas,North Texas Mean Green football,/wiki/North_Texas_Mean_Green_football,Eric Morris,Q5387136,North Texas,,,HC,['HC'],"['2023', 'present']"
Coaching career (HC unless noted),1999–2001,Alabama (GA),Alabama Crimson Tide football,/wiki/Alabama_Crimson_Tide_football,Mike Bloomgren,Q6846062,Alabama,GA,,GA,['GA'],"['1999', '2001']"
Coaching career (HC unless noted),2002–2004,Catawba (co-OC/OL/ST),Catawba Indians football,/wiki/Catawba_Indians_football,Mike Bloomgren,Q6846062,Catawba,co-OC/OL/ST,,co-OC/OL/ST,"['co-OC', 'OL', 'ST']","['2002', '2004']"
Coaching career (HC unless noted),2002–2004,Catawba (co-OC/OL/ST),Offensive coordinator,/wiki/Offensive_coordinator,Mike Bloomgren,Q6846062,Catawba,co-OC/OL/ST,,co-OC/OL/ST,"['co-OC', 'OL', 'ST']","['2002', '2004']"
Coaching career (HC unless noted),2005–2006,Delta State (OC/OL/ST),Delta State Statesmen football,/wiki/Delta_State_Statesmen_football,Mike Bloomgren,Q6846062,Delta State,OC/OL/ST,,OC/OL/ST,"['OC', 'OL', 'ST']","['2005', '2006']"
Coaching career (HC unless noted),2007–2008,New York Jets (QC),New York Jets,/wiki/New_York_Jets,Mike Bloomgren,Q6846062,New York Jets,QC,,QC,['QC'],"['2007', '2008']"
Coaching career (HC unless noted),2009,New York Jets (assistant),,,Mike Bloomgren,Q6846062,New York Jets,assistant,,assistant,['assistant'],['2009']
Coaching career (HC unless noted),2010,New York Jets (AOC),,,Mike Bloomgren,Q6846062,New York Jets,AOC,,AOC,['AOC'],['2010']
Coaching career (HC unless noted),2011–2012,Stanford (RGC/OL),Stanford Cardinal football,/wiki/Stanford_Cardinal_football,Mike Bloomgren,Q6846062,Stanford,RGC/OL,,RGC/OL,"['RGC', 'OL']","['2011', '2012']"
Coaching career (HC unless noted),2013,Stanford (OC/OL),,,Mike Bloomgren,Q6846062,Stanford,OC/OL,,OC/OL,"['OC', 'OL']",['2013']
Coaching career (HC unless noted),2014–2017,Stanford (AHC/OC/OL),,,Mike Bloomgren,Q6846062,Stanford,AHC/OC/OL,,AHC/OC/OL,"['AHC', 'OC', 'OL']","['2014', '2017']"
Coaching career (HC unless noted),2018–present,Rice,Rice Owls football,/wiki/Rice_Owls_football,Mike Bloomgren,Q6846062,Rice,,,HC,['HC'],"['2018', 'present']"
Coaching career (HC unless noted),2004–2005,Springdale HS (AR) (QB),Springdale High School,/wiki/Springdale_High_School,Rhett Lashlee,Q7320465,Springdale HS,AR ,QB,QB,['QB'],"['2004', '2005']"
Coaching career (HC unless noted),2006,Arkansas (GA),Arkansas Razorbacks football,/wiki/Arkansas_Razorbacks_football,Rhett Lashlee,Q7320465,Arkansas,GA,,GA,['GA'],['2006']
Coaching career (HC unless noted),2006,Arkansas (GA),Graduate assistant,/wiki/Graduate_assistant,Rhett Lashlee,Q7320465,Arkansas,GA,,GA,['GA'],['2006']
Coaching career (HC unless noted),2009–2010,Auburn (GA),Auburn Tigers football,/wiki/Auburn_Tigers_football,Rhett Lashlee,Q7320465,Auburn,GA,,GA,['GA'],"['2009', '2010']"
Coaching career (HC unless noted),2011,Samford (OC/QB),Samford Bulldogs football,/wiki/Samford_Bulldogs_football,Rhett Lashlee,Q7320465,Samford,OC/QB,,OC/QB,"['OC', 'QB']",['2011']
Coaching career (HC unless noted),2012,Arkansas State (OC/QB),Arkansas State Red Wolves football,/wiki/Arkansas_State_Red_Wolves_football,Rhett Lashlee,Q7320465,Arkansas State,OC/QB,,OC/QB,"['OC', 'QB']",['2012']
Coaching career (HC unless noted),2013–2016,Auburn (OC/QB),,,Rhett Lashlee,Q7320465,Auburn,OC/QB,,OC/QB,"['OC', 'QB']","['2013', '2016']"
Coaching career (HC unless noted),2017,UConn (OC/QB),UConn Huskies football,/wiki/UConn_Huskies_football,Rhett Lashlee,Q7320465,UConn,OC/QB,,OC/QB,"['OC', 'QB']",['2017']
Coaching career (HC unless noted),2018–2019,SMU (OC/QB),SMU Mustangs football,/wiki/SMU_Mustangs_football,Rhett Lashlee,Q7320465,SMU,OC/QB,,OC/QB,"['OC', 'QB']","['2018', '2019']"
Coaching career (HC unless noted),2020–2021,Miami (FL) (OC/QB),Miami Hurricanes football,/wiki/Miami_Hurricanes_football,Rhett Lashlee,Q7320465,Miami,FL ,OC/QB,OC/QB,"['OC', 'QB']","['2020', '2021']"
Coaching career (HC unless noted),2022–present,SMU,,,Rhett Lashlee,Q7320465,SMU,,,HC,['HC'],"['2022', 'present']"
Coaching career (HC unless noted),2003,Westerville Central HS (OH) (DL),Westerville Central High School,/wiki/Westerville_Central_High_School,Alex Golesh,Q105496742,Westerville Central HS,OH ,DL,DL,['DL'],['2003']
Coaching career (HC unless noted),2004–2005,Ohio State (SA),Ohio State Buckeyes football,/wiki/Ohio_State_Buckeyes_football,Alex Golesh,Q105496742,Ohio State,SA,,SA,['SA'],"['2004', '2005']"
Coaching career (HC unless noted),2006–2007,Northern Illinois (GA),Northern Illinois Huskies football,/wiki/Northern_Illinois_Huskies_football,Alex Golesh,Q105496742,Northern Illinois,GA,,GA,['GA'],"['2006', '2007']"
Coaching career (HC unless noted),2008,Oklahoma State (GA),Oklahoma State Cowboys football,/wiki/Oklahoma_State_Cowboys_football,Alex Golesh,Q105496742,Oklahoma State,GA,,GA,['GA'],['2008']
Coaching career (HC unless noted),2009,Toledo (RB/RC),Toledo Rockets football,/wiki/Toledo_Rockets_football,Alex Golesh,Q105496742,Toledo,RB/RC,,RB/RC,"['RB', 'RC']",['2009']
Coaching career (HC unless noted),2010–2011,Toledo (TE/RC),,,Alex Golesh,Q105496742,Toledo,TE/RC,,TE/RC,"['TE', 'RC']","['2010', '2011']"
Coaching career (HC unless noted),2012–2013,Illinois (TE/RC),Illinois Fighting Illini football,/wiki/Illinois_Fighting_Illini_football,Alex Golesh,Q105496742,Illinois,TE/RC,,TE/RC,"['TE', 'RC']","['2012', '2013']"
Coaching career (HC unless noted),2014,Illinois (RB/TE/RC),,,Alex Golesh,Q105496742,Illinois,RB/TE/RC,,RB/TE/RC,"['RB', 'TE', 'RC']",['2014']
Coaching career (HC unless noted),2015,Illinois (TE/ST),,,Alex Golesh,Q105496742,Illinois,TE/ST,,TE/ST,"['TE', 'ST']",['2015']
Coaching career (HC unless noted),2016–2019,Iowa State (TE/RC),Iowa State Cyclones football,/wiki/Iowa_State_Cyclones_football,Alex Golesh,Q105496742,Iowa State,TE/RC,,TE/RC,"['TE', 'RC']","['2016', '2019']"
Coaching career (HC unless noted),2020,UCF (co-OC/TE),UCF Knights football,/wiki/UCF_Knights_football,Alex Golesh,Q105496742,UCF,co-OC/TE,,co-OC/TE,"['co-OC', 'TE']",['2020']
Coaching career (HC unless noted),2021–2022,Tennessee (OC/TE),Tennessee Volunteers football,/wiki/Tennessee_Volunteers_football,Alex Golesh,Q105496742,Tennessee,OC/TE,,OC/TE,"['OC', 'TE']","['2021', '2022']"
Coaching career (HC unless noted),2023–present,South Florida,South Florida Bulls football,/wiki/South_Florida_Bulls_football,Alex Golesh,Q105496742,South Florida,,,HC,['HC'],"['2023', 'present']"
Coaching career (HC unless noted),1993,Allegheny (RB),Allegheny Gators football,/wiki/Allegheny_Gators_football,Stan Drayton,Q7597616,Allegheny,RB,,RB,['RB'],['1993']
Coaching career (HC unless noted),1994,Eastern Michigan (RB),Eastern Michigan Eagles football,/wiki/Eastern_Michigan_Eagles_football,Stan Drayton,Q7597616,Eastern Michigan,RB,,RB,['RB'],['1994']
Coaching career (HC unless noted),1995,Penn (RB),Penn Quakers football,/wiki/Penn_Quakers_football,Stan Drayton,Q7597616,Penn,RB,,RB,['RB'],['1995']
Coaching career (HC unless noted),1996–1999,Villanova (RB),Villanova Wildcats football,/wiki/Villanova_Wildcats_football,Stan Drayton,Q7597616,Villanova,RB,,RB,['RB'],"['1996', '1999']"
Coaching career (HC unless noted),2000,Bowling Green (RB),Bowling Green Falcons football,/wiki/Bowling_Green_Falcons_football,Stan Drayton,Q7597616,Bowling Green,RB,,RB,['RB'],['2000']
Coaching career (HC unless noted),2001–2003,Green Bay Packers (OQC/ST),Green Bay Packers,/wiki/Green_Bay_Packers,Stan Drayton,Q7597616,Green Bay Packers,OQC/ST,,OQC/ST,"['OQC', 'ST']","['2001', '2003']"
Coaching career (HC unless noted),2004,Mississippi State (RB),Mississippi State Bulldogs football,/wiki/Mississippi_State_Bulldogs_football,Stan Drayton,Q7597616,Mississippi State,RB,,RB,['RB'],['2004']
Coaching career (HC unless noted),2005–2007,Florida (RB),Florida Gators football,/wiki/Florida_Gators_football,Stan Drayton,Q7597616,Florida,RB,,RB,['RB'],"['2005', '2007']"
Coaching career (HC unless noted),2008,Tennessee (RB),Tennessee Volunteers football,/wiki/Tennessee_Volunteers_football,Stan Drayton,Q7597616,Tennessee,RB,,RB,['RB'],['2008']
Coaching career (HC unless noted),2009,Syracuse (RB),Syracuse Orange football,/wiki/Syracuse_Orange_football,Stan Drayton,Q7597616,Syracuse,RB,,RB,['RB'],['2009']
Coaching career (HC unless noted),2010,Florida (RB),,,Stan Drayton,Q7597616,Florida,RB,,RB,['RB'],['2010']
Coaching career (HC unless noted),2012–2014,Ohio State (RB),,,Stan Drayton,Q7597616,Ohio State,RB,,RB,['RB'],"['2012', '2014']"
Coaching career (HC unless noted),2015–2016,Chicago Bears (RB),Chicago Bears,/wiki/Chicago_Bears,Stan Drayton,Q7597616,Chicago Bears,RB,,RB,['RB'],"['2015', '2016']"
Coaching career (HC unless noted),2017–2021,Texas (AHC/RB/RGC),Texas Longhorns football,/wiki/Texas_Longhorns_football,Stan Drayton,Q7597616,Texas,AHC/RB/RGC,,AHC/RB/RGC,"['AHC', 'RB', 'RGC']","['2017', '2021']"
Coaching career (HC unless noted),2022–present,Temple,Temple Owls football,/wiki/Temple_Owls_football,Stan Drayton,Q7597616,Temple,,,HC,['HC'],"['2022', 'present']"
Coaching career (HC unless noted),1982,Pittsburg State (SA),Pittsburg State Gorillas football,/wiki/Pittsburg_State_Gorillas_football,Willie Fritz,Q8021517,Pittsburg State,SA,,SA,['SA'],['1982']
Coaching career (HC unless noted),1983,Shawnee Mission NW HS (KS) (asst.),Shawnee Mission Northwest High School,/wiki/Shawnee_Mission_Northwest_High_School,Willie Fritz,Q8021517,Shawnee Mission NW HS,KS ,asst.,asst.,['asst.'],['1983']
Coaching career (HC unless noted),1984–1985,Sam Houston State (TX) (GA),Sam Houston Bearkats football,/wiki/Sam_Houston_Bearkats_football,Willie Fritz,Q8021517,Sam Houston State,TX ,GA,GA,['GA'],"['1984', '1985']"
Coaching career (HC unless noted),1984–1985,Sam Houston State (TX) (GA),Graduate assistant,/wiki/Graduate_assistant,Willie Fritz,Q8021517,Sam Houston State,TX ,GA,GA,['GA'],"['1984', '1985']"
Coaching career (HC unless noted),1986,Willis HS (TX) (assistant),,,Willie Fritz,Q8021517,Willis HS,TX ,assistant,assistant,['assistant'],['1986']
Coaching career (HC unless noted),1987–1990,Coffeyville CC (DC),Coffeyville Community College,/wiki/Coffeyville_Community_College,Willie Fritz,Q8021517,Coffeyville CC,DC,,DC,['DC'],"['1987', '1990']"
Coaching career (HC unless noted),1987–1990,Coffeyville CC (DC),Defensive coordinator,/wiki/Defensive_coordinator,Willie Fritz,Q8021517,Coffeyville CC,DC,,DC,['DC'],"['1987', '1990']"
Coaching career (HC unless noted),1991–1992,Sam Houston State (DB/ST),,,Willie Fritz,Q8021517,Sam Houston State,DB/ST,,DB/ST,"['DB', 'ST']","['1991', '1992']"
Coaching career (HC unless noted),1993–1996,Blinn,Blinn College,/wiki/Blinn_College,Willie Fritz,Q8021517,Blinn,,,HC,['HC'],"['1993', '1996']"
Coaching career (HC unless noted),1997–2009,Central Missouri,Central Missouri Mules football,/wiki/Central_Missouri_Mules_football,Willie Fritz,Q8021517,Central Missouri,,,HC,['HC'],"['1997', '2009']"
Coaching career (HC unless noted),2010–2013,Sam Houston State,,,Willie Fritz,Q8021517,Sam Houston State,,,HC,['HC'],"['2010', '2013']"
Coaching career (HC unless noted),2014–2015,Georgia Southern,Georgia Southern Eagles football,/wiki/Georgia_Southern_Eagles_football,Willie Fritz,Q8021517,Georgia Southern,,,HC,['HC'],"['2014', '2015']"
Coaching career (HC unless noted),2016–present,Tulane,Tulane Green Wave football,/wiki/Tulane_Green_Wave_football,Willie Fritz,Q8021517,Tulane,,,HC,['HC'],"['2016', 'present']"
Coaching career (HC unless noted),1984–1986,North Carolina (GA),North Carolina Tar Heels football,/wiki/North_Carolina_Tar_Heels_football,Kevin Wilson,Q6397297,North Carolina,GA,,GA,['GA'],"['1984', '1986']"
Coaching career (HC unless noted),1984–1986,North Carolina (GA),Graduate assistant,/wiki/Graduate_assistant,Kevin Wilson,Q6397297,North Carolina,GA,,GA,['GA'],"['1984', '1986']"
Coaching career (HC unless noted),1987,Winston-Salem State (OL),Winston-Salem State Rams football,/wiki/Winston-Salem_State_Rams_football,Kevin Wilson,Q6397297,Winston-Salem State,OL,,OL,['OL'],['1987']
Coaching career (HC unless noted),1988,North Carolina A&T (OC/OL),North Carolina A&T Aggies football,/wiki/North_Carolina_A%26T_Aggies_football,Kevin Wilson,Q6397297,North Carolina A&T,OC/OL,,OC/OL,"['OC', 'OL']",['1988']
Coaching career (HC unless noted),1988,North Carolina A&T (OC/OL),Offensive coordinator,/wiki/Offensive_coordinator,Kevin Wilson,Q6397297,North Carolina A&T,OC/OL,,OC/OL,"['OC', 'OL']",['1988']
Coaching career (HC unless noted),1989,Fred T. Foard HS (NC),Fred T. Foard High School,/wiki/Fred_T._Foard_High_School,Kevin Wilson,Q6397297,Fred T. Foard HS,NC,,NC,['NC'],['1989']
Coaching career (HC unless noted),1990–1991,Miami (OH) (OL),Miami RedHawks football,/wiki/Miami_RedHawks_football,Kevin Wilson,Q6397297,Miami,OH ,OL,OL,['OL'],"['1990', '1991']"
Coaching career (HC unless noted),1992–1997,Miami (OH) (OC/OL),,,Kevin Wilson,Q6397297,Miami,OH ,OC/OL,OC/OL,"['OC', 'OL']","['1992', '1997']"
Coaching career (HC unless noted),1998,Miami (OH) (OC/QB),,,Kevin Wilson,Q6397297,Miami,OH ,OC/QB,OC/QB,"['OC', 'QB']",['1998']
Coaching career (HC unless noted),1999–2000,Northwestern (OC/QB),Northwestern Wildcats football,/wiki/Northwestern_Wildcats_football,Kevin Wilson,Q6397297,Northwestern,OC/QB,,OC/QB,"['OC', 'QB']","['1999', '2000']"
Coaching career (HC unless noted),2001,Northwestern (AHC/OC/QB),,,Kevin Wilson,Q6397297,Northwestern,AHC/OC/QB,,AHC/OC/QB,"['AHC', 'OC', 'QB']",['2001']
Coaching career (HC unless noted),2002–2005,Oklahoma (co-OC/OL),Oklahoma Sooners football,/wiki/Oklahoma_Sooners_football,Kevin Wilson,Q6397297,Oklahoma,co-OC/OL,,co-OC/OL,"['co-OC', 'OL']","['2002', '2005']"
Coaching career (HC unless noted),2006–2010,Oklahoma (OC/TE/FB),,,Kevin Wilson,Q6397297,Oklahoma,OC/TE/FB,,OC/TE/FB,"['OC', 'TE', 'FB']","['2006', '2010']"
Coaching career (HC unless noted),2011–2016,Indiana,Indiana Hoosiers football,/wiki/Indiana_Hoosiers_football,Kevin Wilson,Q6397297,Indiana,,,HC,['HC'],"['2011', '2016']"
Coaching career (HC unless noted),2017–2022,Ohio State (OC/TE),Ohio State Buckeyes football,/wiki/Ohio_State_Buckeyes_football,Kevin Wilson,Q6397297,Ohio State,OC/TE,,OC/TE,"['OC', 'TE']","['2017', '2022']"
Coaching career (HC unless noted),2023–present,Tulsa,Tulsa Golden Hurricane football,/wiki/Tulsa_Golden_Hurricane_football,Kevin Wilson,Q6397297,Tulsa,,,HC,['HC'],"['2023', 'present']"
Coaching career (HC unless noted),2019–2022,Lipscomb (TN),Lipscomb Academy,/wiki/Lipscomb_Academy,Trent Dilfer,Q195442,Lipscomb,TN,,TN,['TN'],"['2019', '2022']"
Coaching career (HC unless noted),2023–present,UAB,UAB Blazers football,/wiki/UAB_Blazers_football,Trent Dilfer,Q195442,UAB,,,HC,['HC'],"['2023', 'present']"
Coaching career (HC unless noted),1989–1992,Big Sandy HS (TX) (assistant),"Big Sandy High School (Big Sandy, Texas)","/wiki/Big_Sandy_High_School_(Big_Sandy,_Texas)",Jeff Traylor,Q78115369,Big Sandy HS,TX ,assistant,assistant,['assistant'],"['1989', '1992']"
Coaching career (HC unless noted),1993–1999,Jacksonville HS (TX) (assistant),"Jacksonville High School (Jacksonville, Texas)","/wiki/Jacksonville_High_School_(Jacksonville,_Texas)",Jeff Traylor,Q78115369,Jacksonville HS,TX ,assistant,assistant,['assistant'],"['1993', '1999']"
Coaching career (HC unless noted),2000–2014,Gilmer HS (TX),Gilmer Independent School District,/wiki/Gilmer_Independent_School_District,Jeff Traylor,Q78115369,Gilmer HS,TX,,TX,['TX'],"['2000', '2014']"
Coaching career (HC unless noted),2015–2016,Texas (ST/TE),Texas Longhorns football,/wiki/Texas_Longhorns_football,Jeff Traylor,Q78115369,Texas,ST/TE,,ST/TE,"['ST', 'TE']","['2015', '2016']"
Coaching career (HC unless noted),2017,SMU (AHC/RB),SMU Mustangs football,/wiki/SMU_Mustangs_football,Jeff Traylor,Q78115369,SMU,AHC/RB,,AHC/RB,"['AHC', 'RB']",['2017']
Coaching career (HC unless noted),2018–2019,Arkansas (AHC/RB),Arkansas Razorbacks football,/wiki/Arkansas_Razorbacks_football,Jeff Traylor,Q78115369,Arkansas,AHC/RB,,AHC/RB,"['AHC', 'RB']","['2018', '2019']"
Coaching career (HC unless noted),2020–present,UTSA,UTSA Roadrunners football,/wiki/UTSA_Roadrunners_football,Jeff Traylor,Q78115369,UTSA,,,HC,['HC'],"['2020', 'present']"
Coaching career (HC unless noted),2001,WPI (RB),WPI Engineers football,/wiki/WPI_Engineers_football,Jeff Hafley,Q23016913,WPI,RB,,RB,['RB'],['2001']
Coaching career (HC unless noted),2002–2003,Albany (DA),Albany Great Danes football,/wiki/Albany_Great_Danes_football,Jeff Hafley,Q23016913,Albany,DA,,DA,['DA'],"['2002', '2003']"
Coaching career (HC unless noted),2004–2005,Albany (DB),,,Jeff Hafley,Q23016913,Albany,DB,,DB,['DB'],"['2004', '2005']"
Coaching career (HC unless noted),2006–2007,Pittsburgh (DA),Pittsburgh Panthers football,/wiki/Pittsburgh_Panthers_football,Jeff Hafley,Q23016913,Pittsburgh,DA,,DA,['DA'],"['2006', '2007']"
Coaching career (HC unless noted),2008–2010,Pittsburgh (DB),,,Jeff Hafley,Q23016913,Pittsburgh,DB,,DB,['DB'],"['2008', '2010']"
Coaching career (HC unless noted),2011,Rutgers (DB),Rutgers Scarlet Knights football,/wiki/Rutgers_Scarlet_Knights_football,Jeff Hafley,Q23016913,Rutgers,DB,,DB,['DB'],['2011']
Coaching career (HC unless noted),2012,Tampa Bay Buccaneers (Asst. DB),Tampa Bay Buccaneers,/wiki/Tampa_Bay_Buccaneers,Jeff Hafley,Q23016913,Tampa Bay Buccaneers,Asst. DB,,Asst. DB,['Asst. DB'],['2012']
Coaching career (HC unless noted),2013,Tampa Bay Buccaneers (DB),,,Jeff Hafley,Q23016913,Tampa Bay Buccaneers,DB,,DB,['DB'],['2013']
Coaching career (HC unless noted),2014–2015,Cleveland Browns (DB),Cleveland Browns,/wiki/Cleveland_Browns,Jeff Hafley,Q23016913,Cleveland Browns,DB,,DB,['DB'],"['2014', '2015']"
Coaching career (HC unless noted),2016–2018,San Francisco 49ers (DB),San Francisco 49ers,/wiki/San_Francisco_49ers,Jeff Hafley,Q23016913,San Francisco 49ers,DB,,DB,['DB'],"['2016', '2018']"
Coaching career (HC unless noted),2019,Ohio State (co-DC/DB),Ohio State Buckeyes football,/wiki/Ohio_State_Buckeyes_football,Jeff Hafley,Q23016913,Ohio State,co-DC/DB,,co-DC/DB,"['co-DC', 'DB']",['2019']
