,i_header,i_label,i_data,title,link,coach_name,id
19,Coaching career (HC unless noted),2015,Arizona State (OA),Arizona State Sun Devils football,/wiki/Arizona_State_Sun_Devils_football,Ryan Silverfield,Q80119196
20,Coaching career (HC unless noted),2015,Detroit Lions (OL),Detroit Lions,/wiki/Detroit_Lions,Ryan Silverfield,Q80119196
21,Coaching career (HC unless noted),2016,Memphis (OL),Memphis Tigers football,/wiki/Memphis_Tigers_football,Ryan Silverfield,Q80119196
22,Coaching career (HC unless noted),2017–2018,Memphis (RGC/OL),,,Ryan Silverfield,Q80119196
23,Coaching career (HC unless noted),2019,Memphis (AHC/RGC/OL),,,Ryan Silverfield,Q80119196
24,Coaching career (HC unless noted),2020–present,Memphis,,,Ryan Silverfield,Q80119196
4,Playing career,1992–1996,Baylor,Baylor Bears football,/wiki/Baylor_Bears_football,Brian Newberry,Q115768224
5,Playing career,Position(s),Defensive back,Defensive back,/wiki/Defensive_back,Brian Newberry,Q115768224
6,Coaching career (HC unless noted),1999–2000,Southern Arkansas (GA/DB/WR),Southern Arkansas Muleriders football,/wiki/Southern_Arkansas_Muleriders_football,Brian Newberry,Q115768224
7,Coaching career (HC unless noted),1999–2000,Southern Arkansas (GA/DB/WR),Graduate assistant,/wiki/Graduate_assistant,Brian Newberry,Q115768224
8,Coaching career (HC unless noted),2001–2002,Washington & Lee (DC/DB),Washington and Lee Generals football,/wiki/Washington_and_Lee_Generals_football,Brian Newberry,Q115768224
9,Coaching career (HC unless noted),2001–2002,Washington & Lee (DC/DB),Defensive coordinator,/wiki/Defensive_coordinator,Brian Newberry,Q115768224
10,Coaching career (HC unless noted),2003,Lehigh (Asst. DB),Lehigh Mountain Hawks football,/wiki/Lehigh_Mountain_Hawks_football,Brian Newberry,Q115768224
11,Coaching career (HC unless noted),2004–2006,Washington & Lee (DC/DB),,,Brian Newberry,Q115768224
12,Coaching career (HC unless noted),2007–2010,Elon (DB),Elon Phoenix football,/wiki/Elon_Phoenix_football,Brian Newberry,Q115768224
13,Coaching career (HC unless noted),2011,Sewanee (DC/LB),Sewanee Tigers football,/wiki/Sewanee_Tigers_football,Brian Newberry,Q115768224
14,Coaching career (HC unless noted),2012,Northern Michigan (DC),Northern Michigan Wildcats,/wiki/Northern_Michigan_Wildcats,Brian Newberry,Q115768224
15,Coaching career (HC unless noted),2015–2018,Kennesaw State (DC/DB),Kennesaw State Owls football,/wiki/Kennesaw_State_Owls_football,Brian Newberry,Q115768224
16,Coaching career (HC unless noted),2019–2022,Navy (DC/S),Navy Midshipmen football,/wiki/Navy_Midshipmen_football,Brian Newberry,Q115768224
17,Coaching career (HC unless noted),2023–present,Navy,,,Brian Newberry,Q115768224
4,Biographical details,Born," (1985-10-26) October 26, 1985 (age 37)Littlefield, Texas, U.S.","Littlefield, Texas","/wiki/Littlefield,_Texas",Eric Morris,Q5387136
5,Playing career,2004–2008,Texas Tech,Texas Tech Red Raiders football,/wiki/Texas_Tech_Red_Raiders_football,Eric Morris,Q5387136
6,Playing career,2009,Saskatchewan Roughriders,Saskatchewan Roughriders,/wiki/Saskatchewan_Roughriders,Eric Morris,Q5387136
7,Playing career,Position(s),Wide receiver,Wide receiver,/wiki/Wide_receiver,Eric Morris,Q5387136
8,Coaching career (HC unless noted),2010,Houston (AOQC),Houston Cougars football,/wiki/Houston_Cougars_football,Eric Morris,Q5387136
9,Coaching career (HC unless noted),2011,Houston (GA),Graduate assistant,/wiki/Graduate_assistant,Eric Morris,Q5387136
10,Coaching career (HC unless noted),2012,Washington State (IWR),Washington State Cougars football,/wiki/Washington_State_Cougars_football,Eric Morris,Q5387136
11,Coaching career (HC unless noted),2013,Texas Tech (co-OC/IWR),Texas Tech Red Raiders football,/wiki/Texas_Tech_Red_Raiders_football,Eric Morris,Q5387136
12,Coaching career (HC unless noted),2013,Texas Tech (co-OC/IWR),Offensive coordinator,/wiki/Offensive_coordinator,Eric Morris,Q5387136
13,Coaching career (HC unless noted),2014,Texas Tech (OC/WR),,,Eric Morris,Q5387136
14,Coaching career (HC unless noted),2015–2017,Texas Tech (OC/IWR),,,Eric Morris,Q5387136
15,Coaching career (HC unless noted),2018–2021,Incarnate Word,Incarnate Word Cardinals football,/wiki/Incarnate_Word_Cardinals_football,Eric Morris,Q5387136
16,Coaching career (HC unless noted),2022,Washington State (OC/QB),Washington State Cougars football,/wiki/Washington_State_Cougars_football,Eric Morris,Q5387136
17,Coaching career (HC unless noted),2023–present,North Texas,North Texas Mean Green football,/wiki/North_Texas_Mean_Green_football,Eric Morris,Q5387136
4,Biographical details,Born," (1977-01-25) January 25, 1977 (age 46)Tallahassee, Florida, U.S.","Tallahassee, Florida","/wiki/Tallahassee,_Florida",Mike Bloomgren,Q6846062
5,Biographical details,Alma mater,Florida State (1999),Florida State University,/wiki/Florida_State_University,Mike Bloomgren,Q6846062
6,Playing career,1996–1997,Culver–Stockton,Culver–Stockton Wildcats football,/wiki/Culver%E2%80%93Stockton_Wildcats_football,Mike Bloomgren,Q6846062
7,Playing career,Position(s),Tight end,Tight end,/wiki/Tight_end,Mike Bloomgren,Q6846062
8,Coaching career (HC unless noted),1999–2001,Alabama (GA),Alabama Crimson Tide football,/wiki/Alabama_Crimson_Tide_football,Mike Bloomgren,Q6846062
9,Coaching career (HC unless noted),2002–2004,Catawba (co-OC/OL/ST),Catawba Indians football,/wiki/Catawba_Indians_football,Mike Bloomgren,Q6846062
10,Coaching career (HC unless noted),2002–2004,Catawba (co-OC/OL/ST),Offensive coordinator,/wiki/Offensive_coordinator,Mike Bloomgren,Q6846062
11,Coaching career (HC unless noted),2005–2006,Delta State (OC/OL/ST),Delta State Statesmen football,/wiki/Delta_State_Statesmen_football,Mike Bloomgren,Q6846062
12,Coaching career (HC unless noted),2007–2008,New York Jets (QC),New York Jets,/wiki/New_York_Jets,Mike Bloomgren,Q6846062
13,Coaching career (HC unless noted),2009,New York Jets (assistant),,,Mike Bloomgren,Q6846062
14,Coaching career (HC unless noted),2010,New York Jets (AOC),,,Mike Bloomgren,Q6846062
15,Coaching career (HC unless noted),2011–2012,Stanford (RGC/OL),Stanford Cardinal football,/wiki/Stanford_Cardinal_football,Mike Bloomgren,Q6846062
16,Coaching career (HC unless noted),2013,Stanford (OC/OL),,,Mike Bloomgren,Q6846062
17,Coaching career (HC unless noted),2014–2017,Stanford (AHC/OC/OL),,,Mike Bloomgren,Q6846062
18,Coaching career (HC unless noted),2018–present,Rice,Rice Owls football,/wiki/Rice_Owls_football,Mike Bloomgren,Q6846062
4,Biographical details,Born," (1983-06-09) June 9, 1983 (age 40)Springdale, Arkansas, U.S.","Springdale, Arkansas","/wiki/Springdale,_Arkansas",Rhett Lashlee,Q7320465
5,Playing career,2002–2004,Arkansas,Arkansas Razorbacks football,/wiki/Arkansas_Razorbacks_football,Rhett Lashlee,Q7320465
6,Playing career,Position(s),Quarterback,Quarterback,/wiki/Quarterback,Rhett Lashlee,Q7320465
7,Coaching career (HC unless noted),2004–2005,Springdale HS (AR) (QB),Springdale High School,/wiki/Springdale_High_School,Rhett Lashlee,Q7320465
8,Coaching career (HC unless noted),2006,Arkansas (GA),Arkansas Razorbacks football,/wiki/Arkansas_Razorbacks_football,Rhett Lashlee,Q7320465
9,Coaching career (HC unless noted),2006,Arkansas (GA),Graduate assistant,/wiki/Graduate_assistant,Rhett Lashlee,Q7320465
10,Coaching career (HC unless noted),2009–2010,Auburn (GA),Auburn Tigers football,/wiki/Auburn_Tigers_football,Rhett Lashlee,Q7320465
11,Coaching career (HC unless noted),2011,Samford (OC/QB),Samford Bulldogs football,/wiki/Samford_Bulldogs_football,Rhett Lashlee,Q7320465
12,Coaching career (HC unless noted),2012,Arkansas State (OC/QB),Arkansas State Red Wolves football,/wiki/Arkansas_State_Red_Wolves_football,Rhett Lashlee,Q7320465
13,Coaching career (HC unless noted),2013–2016,Auburn (OC/QB),,,Rhett Lashlee,Q7320465
14,Coaching career (HC unless noted),2017,UConn (OC/QB),UConn Huskies football,/wiki/UConn_Huskies_football,Rhett Lashlee,Q7320465
15,Coaching career (HC unless noted),2018–2019,SMU (OC/QB),SMU Mustangs football,/wiki/SMU_Mustangs_football,Rhett Lashlee,Q7320465
16,Coaching career (HC unless noted),2020–2021,Miami (FL) (OC/QB),Miami Hurricanes football,/wiki/Miami_Hurricanes_football,Rhett Lashlee,Q7320465
17,Coaching career (HC unless noted),2022–present,SMU,,,Rhett Lashlee,Q7320465
4,Biographical details,Born," (1984-06-24) June 24, 1984 (age 39)Moscow, Russian SFSR, Soviet Union",Moscow,/wiki/Moscow,Alex Golesh,Q105496742
5,Biographical details,Born," (1984-06-24) June 24, 1984 (age 39)Moscow, Russian SFSR, Soviet Union",Russian Soviet Federative Socialist Republic,/wiki/Russian_Soviet_Federative_Socialist_Republic,Alex Golesh,Q105496742
6,Biographical details,Born," (1984-06-24) June 24, 1984 (age 39)Moscow, Russian SFSR, Soviet Union",Soviet Union,/wiki/Soviet_Union,Alex Golesh,Q105496742
7,Biographical details,Alma mater,Ohio State (2006),Ohio State University,/wiki/Ohio_State_University,Alex Golesh,Q105496742
8,Coaching career (HC unless noted),2003,Westerville Central HS (OH) (DL),Westerville Central High School,/wiki/Westerville_Central_High_School,Alex Golesh,Q105496742
9,Coaching career (HC unless noted),2004–2005,Ohio State (SA),Ohio State Buckeyes football,/wiki/Ohio_State_Buckeyes_football,Alex Golesh,Q105496742
10,Coaching career (HC unless noted),2006–2007,Northern Illinois (GA),Northern Illinois Huskies football,/wiki/Northern_Illinois_Huskies_football,Alex Golesh,Q105496742
11,Coaching career (HC unless noted),2008,Oklahoma State (GA),Oklahoma State Cowboys football,/wiki/Oklahoma_State_Cowboys_football,Alex Golesh,Q105496742
12,Coaching career (HC unless noted),2009,Toledo (RB/RC),Toledo Rockets football,/wiki/Toledo_Rockets_football,Alex Golesh,Q105496742
13,Coaching career (HC unless noted),2010–2011,Toledo (TE/RC),,,Alex Golesh,Q105496742
14,Coaching career (HC unless noted),2012–2013,Illinois (TE/RC),Illinois Fighting Illini football,/wiki/Illinois_Fighting_Illini_football,Alex Golesh,Q105496742
15,Coaching career (HC unless noted),2014,Illinois (RB/TE/RC),,,Alex Golesh,Q105496742
16,Coaching career (HC unless noted),2015,Illinois (TE/ST),,,Alex Golesh,Q105496742
17,Coaching career (HC unless noted),2016–2019,Iowa State (TE/RC),Iowa State Cyclones football,/wiki/Iowa_State_Cyclones_football,Alex Golesh,Q105496742
18,Coaching career (HC unless noted),2020,UCF (co-OC/TE),UCF Knights football,/wiki/UCF_Knights_football,Alex Golesh,Q105496742
19,Coaching career (HC unless noted),2021–2022,Tennessee (OC/TE),Tennessee Volunteers football,/wiki/Tennessee_Volunteers_football,Alex Golesh,Q105496742
20,Coaching career (HC unless noted),2023–present,South Florida,South Florida Bulls football,/wiki/South_Florida_Bulls_football,Alex Golesh,Q105496742
4,Biographical details,Born," (1971-03-11) March 11, 1971 (age 52)Cleveland, Ohio, U.S.",Cleveland,/wiki/Cleveland,Stan Drayton,Q7597616
5,Playing career,1989–1992,Allegheny,Allegheny Gators football,/wiki/Allegheny_Gators_football,Stan Drayton,Q7597616
6,Playing career,Position(s),Running back,Running back,/wiki/Running_back,Stan Drayton,Q7597616
7,Coaching career (HC unless noted),1993,Allegheny (RB),Allegheny Gators football,/wiki/Allegheny_Gators_football,Stan Drayton,Q7597616
8,Coaching career (HC unless noted),1994,Eastern Michigan (RB),Eastern Michigan Eagles football,/wiki/Eastern_Michigan_Eagles_football,Stan Drayton,Q7597616
9,Coaching career (HC unless noted),1995,Penn (RB),Penn Quakers football,/wiki/Penn_Quakers_football,Stan Drayton,Q7597616
10,Coaching career (HC unless noted),1996–1999,Villanova (RB),Villanova Wildcats football,/wiki/Villanova_Wildcats_football,Stan Drayton,Q7597616
11,Coaching career (HC unless noted),2000,Bowling Green (RB),Bowling Green Falcons football,/wiki/Bowling_Green_Falcons_football,Stan Drayton,Q7597616
12,Coaching career (HC unless noted),2001–2003,Green Bay Packers (OQC/ST),Green Bay Packers,/wiki/Green_Bay_Packers,Stan Drayton,Q7597616
13,Coaching career (HC unless noted),2004,Mississippi State (RB),Mississippi State Bulldogs football,/wiki/Mississippi_State_Bulldogs_football,Stan Drayton,Q7597616
14,Coaching career (HC unless noted),2005–2007,Florida (RB),Florida Gators football,/wiki/Florida_Gators_football,Stan Drayton,Q7597616
15,Coaching career (HC unless noted),2008,Tennessee (RB),Tennessee Volunteers football,/wiki/Tennessee_Volunteers_football,Stan Drayton,Q7597616
16,Coaching career (HC unless noted),2009,Syracuse (RB),Syracuse Orange football,/wiki/Syracuse_Orange_football,Stan Drayton,Q7597616
17,Coaching career (HC unless noted),2010,Florida (RB),,,Stan Drayton,Q7597616
18,Coaching career (HC unless noted),2012–2014,Ohio State (RB),,,Stan Drayton,Q7597616
19,Coaching career (HC unless noted),2015–2016,Chicago Bears (RB),Chicago Bears,/wiki/Chicago_Bears,Stan Drayton,Q7597616
20,Coaching career (HC unless noted),2017–2021,Texas (AHC/RB/RGC),Texas Longhorns football,/wiki/Texas_Longhorns_football,Stan Drayton,Q7597616
21,Coaching career (HC unless noted),2022–present,Temple,Temple Owls football,/wiki/Temple_Owls_football,Stan Drayton,Q7597616
5,Biographical details,Born," (1960-04-02) April 2, 1960 (age 63)Shawnee Mission, Kansas, U.S.","Shawnee Mission, Kansas","/wiki/Shawnee_Mission,_Kansas",Willie Fritz,Q8021517
6,Playing career,1978–1981,Pittsburg State,Pittsburg State Gorillas football,/wiki/Pittsburg_State_Gorillas_football,Willie Fritz,Q8021517
7,Playing career,Position(s),Defensive back,Defensive back,/wiki/Defensive_back,Willie Fritz,Q8021517
8,Coaching career (HC unless noted),1982,Pittsburg State (SA),Pittsburg State Gorillas football,/wiki/Pittsburg_State_Gorillas_football,Willie Fritz,Q8021517
9,Coaching career (HC unless noted),1983,Shawnee Mission NW HS (KS) (asst.),Shawnee Mission Northwest High School,/wiki/Shawnee_Mission_Northwest_High_School,Willie Fritz,Q8021517
10,Coaching career (HC unless noted),1984–1985,Sam Houston State (TX) (GA),Sam Houston Bearkats football,/wiki/Sam_Houston_Bearkats_football,Willie Fritz,Q8021517
11,Coaching career (HC unless noted),1984–1985,Sam Houston State (TX) (GA),Graduate assistant,/wiki/Graduate_assistant,Willie Fritz,Q8021517
12,Coaching career (HC unless noted),1986,Willis HS (TX) (assistant),,,Willie Fritz,Q8021517
13,Coaching career (HC unless noted),1987–1990,Coffeyville CC (DC),Coffeyville Community College,/wiki/Coffeyville_Community_College,Willie Fritz,Q8021517
14,Coaching career (HC unless noted),1987–1990,Coffeyville CC (DC),Defensive coordinator,/wiki/Defensive_coordinator,Willie Fritz,Q8021517
15,Coaching career (HC unless noted),1991–1992,Sam Houston State (DB/ST),,,Willie Fritz,Q8021517
16,Coaching career (HC unless noted),1993–1996,Blinn,Blinn College,/wiki/Blinn_College,Willie Fritz,Q8021517
17,Coaching career (HC unless noted),1997–2009,Central Missouri,Central Missouri Mules football,/wiki/Central_Missouri_Mules_football,Willie Fritz,Q8021517
18,Coaching career (HC unless noted),2010–2013,Sam Houston State,,,Willie Fritz,Q8021517
19,Coaching career (HC unless noted),2014–2015,Georgia Southern,Georgia Southern Eagles football,/wiki/Georgia_Southern_Eagles_football,Willie Fritz,Q8021517
20,Coaching career (HC unless noted),2016–present,Tulane,Tulane Green Wave football,/wiki/Tulane_Green_Wave_football,Willie Fritz,Q8021517
4,Biographical details,Born," (1961-10-23) October 23, 1961 (age 61)Maiden, North Carolina, U.S.[1]","Maiden, North Carolina","/wiki/Maiden,_North_Carolina",Kevin Wilson,Q6397297
5,Biographical details,Born," (1961-10-23) October 23, 1961 (age 61)Maiden, North Carolina, U.S.[1]",,#cite_note-ohiostatebuckeyes.com-1,Kevin Wilson,Q6397297
6,Biographical details,Alma mater,North Carolina (1984) [1],University of North Carolina at Chapel Hill,/wiki/University_of_North_Carolina_at_Chapel_Hill,Kevin Wilson,Q6397297
7,Biographical details,Alma mater,North Carolina (1984) [1],,#cite_note-ohiostatebuckeyes.com-1,Kevin Wilson,Q6397297
8,Playing career,1980–1983,North Carolina,North Carolina Tar Heels football,/wiki/North_Carolina_Tar_Heels_football,Kevin Wilson,Q6397297
9,Playing career,Position(s),"Center, guard",Center (gridiron football),/wiki/Center_(gridiron_football),Kevin Wilson,Q6397297
10,Playing career,Position(s),"Center, guard",Guard (gridiron football),/wiki/Guard_(gridiron_football),Kevin Wilson,Q6397297
11,Coaching career (HC unless noted),1984–1986,North Carolina (GA),North Carolina Tar Heels football,/wiki/North_Carolina_Tar_Heels_football,Kevin Wilson,Q6397297
12,Coaching career (HC unless noted),1984–1986,North Carolina (GA),Graduate assistant,/wiki/Graduate_assistant,Kevin Wilson,Q6397297
13,Coaching career (HC unless noted),1987,Winston-Salem State (OL),Winston-Salem State Rams football,/wiki/Winston-Salem_State_Rams_football,Kevin Wilson,Q6397297
14,Coaching career (HC unless noted),1988,North Carolina A&T (OC/OL),North Carolina A&T Aggies football,/wiki/North_Carolina_A%26T_Aggies_football,Kevin Wilson,Q6397297
15,Coaching career (HC unless noted),1988,North Carolina A&T (OC/OL),Offensive coordinator,/wiki/Offensive_coordinator,Kevin Wilson,Q6397297
16,Coaching career (HC unless noted),1989,Fred T. Foard HS (NC),Fred T. Foard High School,/wiki/Fred_T._Foard_High_School,Kevin Wilson,Q6397297
17,Coaching career (HC unless noted),1990–1991,Miami (OH) (OL),Miami RedHawks football,/wiki/Miami_RedHawks_football,Kevin Wilson,Q6397297
18,Coaching career (HC unless noted),1992–1997,Miami (OH) (OC/OL),,,Kevin Wilson,Q6397297
19,Coaching career (HC unless noted),1998,Miami (OH) (OC/QB),,,Kevin Wilson,Q6397297
20,Coaching career (HC unless noted),1999–2000,Northwestern (OC/QB),Northwestern Wildcats football,/wiki/Northwestern_Wildcats_football,Kevin Wilson,Q6397297
21,Coaching career (HC unless noted),2001,Northwestern (AHC/OC/QB),,,Kevin Wilson,Q6397297
22,Coaching career (HC unless noted),2002–2005,Oklahoma (co-OC/OL),Oklahoma Sooners football,/wiki/Oklahoma_Sooners_football,Kevin Wilson,Q6397297
23,Coaching career (HC unless noted),2006–2010,Oklahoma (OC/TE/FB),,,Kevin Wilson,Q6397297
24,Coaching career (HC unless noted),2011–2016,Indiana,Indiana Hoosiers football,/wiki/Indiana_Hoosiers_football,Kevin Wilson,Q6397297
25,Coaching career (HC unless noted),2017–2022,Ohio State (OC/TE),Ohio State Buckeyes football,/wiki/Ohio_State_Buckeyes_football,Kevin Wilson,Q6397297
26,Coaching career (HC unless noted),2023–present,Tulsa,Tulsa Golden Hurricane football,/wiki/Tulsa_Golden_Hurricane_football,Kevin Wilson,Q6397297
5,Biographical details,Born," (1972-03-13) March 13, 1972 (age 51)Santa Cruz, California, U.S.","Santa Cruz, California","/wiki/Santa_Cruz,_California",Trent Dilfer,Q195442
6,Biographical details,Alma mater,Fresno State,Fresno State,/wiki/Fresno_State,Trent Dilfer,Q195442
7,Playing career,1990–1993,Fresno State,Fresno State Bulldogs football,/wiki/Fresno_State_Bulldogs_football,Trent Dilfer,Q195442
8,Playing career,1994–1999,Tampa Bay Buccaneers,Tampa Bay Buccaneers,/wiki/Tampa_Bay_Buccaneers,Trent Dilfer,Q195442
9,Playing career,2000,Baltimore Ravens,Baltimore Ravens,/wiki/Baltimore_Ravens,Trent Dilfer,Q195442
10,Playing career,2001–2004,Seattle Seahawks,Seattle Seahawks,/wiki/Seattle_Seahawks,Trent Dilfer,Q195442
11,Playing career,2005,Cleveland Browns,Cleveland Browns,/wiki/Cleveland_Browns,Trent Dilfer,Q195442
12,Playing career,2006–2007,San Francisco 49ers,San Francisco 49ers,/wiki/San_Francisco_49ers,Trent Dilfer,Q195442
13,Playing career,Position(s),Quarterback,Quarterback,/wiki/Quarterback,Trent Dilfer,Q195442
14,Coaching career (HC unless noted),2019–2022,Lipscomb (TN),Lipscomb Academy,/wiki/Lipscomb_Academy,Trent Dilfer,Q195442
15,Coaching career (HC unless noted),2023–present,UAB,UAB Blazers football,/wiki/UAB_Blazers_football,Trent Dilfer,Q195442
4,Biographical details,Born," (1968-05-09) May 9, 1968 (age 55)Gilmer, Texas, U.S.","Gilmer, Texas","/wiki/Gilmer,_Texas",Jeff Traylor,Q78115369
5,Playing career,1986–1989,Stephen F. Austin,Stephen F. Austin Lumberjacks football,/wiki/Stephen_F._Austin_Lumberjacks_football,Jeff Traylor,Q78115369
6,Coaching career (HC unless noted),1989–1992,Big Sandy HS (TX) (assistant),"Big Sandy High School (Big Sandy, Texas)","/wiki/Big_Sandy_High_School_(Big_Sandy,_Texas)",Jeff Traylor,Q78115369
7,Coaching career (HC unless noted),1993–1999,Jacksonville HS (TX) (assistant),"Jacksonville High School (Jacksonville, Texas)","/wiki/Jacksonville_High_School_(Jacksonville,_Texas)",Jeff Traylor,Q78115369
8,Coaching career (HC unless noted),2000–2014,Gilmer HS (TX),Gilmer Independent School District,/wiki/Gilmer_Independent_School_District,Jeff Traylor,Q78115369
9,Coaching career (HC unless noted),2015–2016,Texas (ST/TE),Texas Longhorns football,/wiki/Texas_Longhorns_football,Jeff Traylor,Q78115369
10,Coaching career (HC unless noted),2017,SMU (AHC/RB),SMU Mustangs football,/wiki/SMU_Mustangs_football,Jeff Traylor,Q78115369
11,Coaching career (HC unless noted),2018–2019,Arkansas (AHC/RB),Arkansas Razorbacks football,/wiki/Arkansas_Razorbacks_football,Jeff Traylor,Q78115369
12,Coaching career (HC unless noted),2020–present,UTSA,UTSA Roadrunners football,/wiki/UTSA_Roadrunners_football,Jeff Traylor,Q78115369
5,Biographical details,Born," (1979-04-04) April 4, 1979 (age 44)Montvale, New Jersey, U.S.[2]","Montvale, New Jersey","/wiki/Montvale,_New_Jersey",Jeff Hafley,Q23016913
6,Biographical details,Born," (1979-04-04) April 4, 1979 (age 44)Montvale, New Jersey, U.S.[2]",,#cite_note-2,Jeff Hafley,Q23016913
7,Playing career,1997–2000,Siena,Siena Saints football,/wiki/Siena_Saints_football,Jeff Hafley,Q23016913
8,Playing career,Position(s),Wide receiver,Wide receiver,/wiki/Wide_receiver,Jeff Hafley,Q23016913
9,Coaching career (HC unless noted),2001,WPI (RB),WPI Engineers football,/wiki/WPI_Engineers_football,Jeff Hafley,Q23016913
10,Coaching career (HC unless noted),2002–2003,Albany (DA),Albany Great Danes football,/wiki/Albany_Great_Danes_football,Jeff Hafley,Q23016913
11,Coaching career (HC unless noted),2004–2005,Albany (DB),,,Jeff Hafley,Q23016913
12,Coaching career (HC unless noted),2006–2007,Pittsburgh (DA),Pittsburgh Panthers football,/wiki/Pittsburgh_Panthers_football,Jeff Hafley,Q23016913
13,Coaching career (HC unless noted),2008–2010,Pittsburgh (DB),,,Jeff Hafley,Q23016913
14,Coaching career (HC unless noted),2011,Rutgers (DB),Rutgers Scarlet Knights football,/wiki/Rutgers_Scarlet_Knights_football,Jeff Hafley,Q23016913
15,Coaching career (HC unless noted),2012,Tampa Bay Buccaneers (Asst. DB),Tampa Bay Buccaneers,/wiki/Tampa_Bay_Buccaneers,Jeff Hafley,Q23016913
16,Coaching career (HC unless noted),2013,Tampa Bay Buccaneers (DB),,,Jeff Hafley,Q23016913
17,Coaching career (HC unless noted),2014–2015,Cleveland Browns (DB),Cleveland Browns,/wiki/Cleveland_Browns,Jeff Hafley,Q23016913
18,Coaching career (HC unless noted),2016–2018,San Francisco 49ers (DB),San Francisco 49ers,/wiki/San_Francisco_49ers,Jeff Hafley,Q23016913
19,Coaching career (HC unless noted),2019,Ohio State (co-DC/DB),Ohio State Buckeyes football,/wiki/Ohio_State_Buckeyes_football,Jeff Hafley,Q23016913
20,Coaching career (HC unless noted),2020–present,Boston College,Boston College Eagles football,/wiki/Boston_College_Eagles_football,Jeff Hafley,Q23016913
4,Biographical details,Born," (1969-11-20) November 20, 1969 (age 53)Birmingham, Alabama, U.S.","Birmingham, Alabama","/wiki/Birmingham,_Alabama",Dabo Swinney,Q5207523
5,Playing career,1990–1992,Alabama,Alabama Crimson Tide football,/wiki/Alabama_Crimson_Tide_football,Dabo Swinney,Q5207523
6,Playing career,Position(s),Wide receiver,Wide receiver,/wiki/Wide_receiver,Dabo Swinney,Q5207523
7,Coaching career (HC unless noted),1993–1995,Alabama (GA),Alabama Crimson Tide football,/wiki/Alabama_Crimson_Tide_football,Dabo Swinney,Q5207523
8,Coaching career (HC unless noted),1993–1995,Alabama (GA),Graduate assistant,/wiki/Graduate_assistant,Dabo Swinney,Q5207523
9,Coaching career (HC unless noted),1996,Alabama (WR/TE),,,Dabo Swinney,Q5207523
10,Coaching career (HC unless noted),1997,Alabama (TE),,,Dabo Swinney,Q5207523
11,Coaching career (HC unless noted),1998–2000,Alabama (WR),,,Dabo Swinney,Q5207523
12,Coaching career (HC unless noted),2003–2006,Clemson (WR),Clemson Tigers football,/wiki/Clemson_Tigers_football,Dabo Swinney,Q5207523
13,Coaching career (HC unless noted),2007–2008,Clemson (AHC/WR),,,Dabo Swinney,Q5207523
14,Coaching career (HC unless noted),2008,Clemson (interim HC/OC),Offensive coordinator,/wiki/Offensive_coordinator,Dabo Swinney,Q5207523
15,Coaching career (HC unless noted),2009–present,Clemson,,,Dabo Swinney,Q5207523
4,Biographical details,Born," (1977-07-28) July 28, 1977 (age 46)South Brunswick, New Jersey, U.S.","South Brunswick, New Jersey","/wiki/South_Brunswick,_New_Jersey",Mike Elko,Q28363928
