,coach_name,id,num_date,str_date,age,location
753,James Franklin,Q14950689,1972-02-02," February 2, 1972 ",51,"Langhorne, Pennsylvania, U.S."
769,Ryan Walters,Q104172856,1986-01-21," January 21, 1986 ",37,"Los Angeles, California, U.S."
784,Greg Schiano,Q547645,1966-06-01," June 1, 1966 ",57,"Wyckoff, New Jersey, U.S."
799,Luke Fickell,Q6701962,1973-08-18," August 18, 1973 ",50,"Columbus, Ohio, U.S."
813,Mike MacIntyre,Q14950091,1965-03-14," March 14, 1965 ",58,"Miami, Florida, U.S."
834,Rich Rodriguez,Q7323433,1963-05-24," May 24, 1963 ",60,"Grant Town, West Virginia, U.S."
851,Jamey Chadwell,Q6146303,1977-01-10," January 10, 1977 ",46,"Caryville, Tennessee, U.S."
868,Rick Stockstill,Q7331777,1957-12-23," December 23, 1957 ",65,"Sidney, Ohio, U.S."
883,Jerry Kill,Q6183880,1961-08-24," August 24, 1961 ",62,"Cheney, Kansas, U.S."
903,K. C. Keeler,Q14950948,1959-07-26," July 26, 1959 ",64,"Emmaus, Pennsylvania, U.S."
911,Dana Dimel,Q5214711,1962-10-09," October 9, 1962 ",60,"Columbus, Ohio, U.S."
926,Tyson Helton,Q45223379,1977-06-20," June 20, 1977 ",46,"Gainesville, Florida, U.S."
941,Jeff Monken,Q6174537,1967-04-15," April 15, 1967 ",56,"Peoria, Illinois, U.S."
961,Jim L. Mora,Q6196230,1961-11-19," November 19, 1961 ",61,"Los Angeles, California, U.S."
978,Don Brown,Q5292324,1955-07-31," July 31, 1955 ",68,"Spencer, Massachusetts, U.S."
999,Joe Moorhead,Q6211426,1973-11-02," November 2, 1973 ",49,"Pittsburgh, Pennsylvania, U.S."
1022,Scot Loeffler,Q7435471,1974-11-01," November 1, 1974 ",48,"Barberton, Ohio, U.S."
1037,Maurice Linguist,Q105443401,1984-04-01," April 1, 1984 ",39,"Dallas, Texas, U.S."
1051,Jim McElwain,Q6196807,1962-03-01," March 1, 1962 ",61,"Missoula, Montana, U.S."
1068,Chris Creighton,Q5106302,1969-02-07," February 7, 1969 ",54,"San Francisco, California, U.S."
1081,Kenni Burns,Q115698994,1983-11-24," November 24, 1983 ",39,"Springfield, Illinois, U.S."
1093,Chuck Martin,Q5115606,1968-01-08," January 8, 1968 ",55,"Park Forest, Illinois, U.S."
1112,Thomas Hammock,Q7790378,1981-07-07," July 7, 1981 ",42,"Jersey City, New Jersey, U.S."
1123,Tim Albin,Q63342501,1965-09-13," September 13, 1965 ",57,"Woodward, Oklahoma, U.S."
1124,Tim Albin,Q63342501,1965-09-13," September 13, 1965 ",57,"Woodward, Oklahoma, U.S."
1138,Jason Candle,Q21662770,1979-11-12," November 12, 1979 ",43,"Salem, Ohio, U.S."
1149,Lance Taylor,Q115819882,1981-07-17," July 17, 1981 ",42,"Mount Vernon, Alabama, U.S."
1169,Troy Calhoun,Q7846785,1966-09-26," September 26, 1966 ",56,"McMinnville, Oregon, U.S."
1180,Andy Avalos,Q100735259,1981-11-05," November 5, 1981 ",41,"Corona, California, U.S."
1192,Jay Norvell,Q6166982,1963-03-28," March 28, 1963 ",60,"Madison, Wisconsin, U.S."
1223,Ken Wilson,Q110252038,1964-02-17," February 17, 1964 ",59,"Virginia, Illinois, U.S."
1245,Danny Gonzales,Q50358849,1976-01-13," January 13, 1976 ",47,"Albuquerque, New Mexico, U.S."
1257,Brady Hoke,Q4955190,1958-11-03," November 3, 1958 ",64,"Dayton, Ohio, U.S."
1277,Brent Brennan,Q27973927,1973-03-20," March 20, 1973 ",50,"Redwood City, California, U.S."
1293,Barry Odom,Q21663410,1976-11-26," November 26, 1976 ",46,"Lawton, Oklahoma, U.S."
1308,Blake Anderson,Q16160168,1969-03-24," March 24, 1969 ",54,"Jonesboro, Arkansas, U.S."
1328,Craig Bohl,Q5180748,1958-07-27," July 27, 1958 ",65,"Lincoln, Nebraska, U.S."
1343,Jedd Fisch,Q6172675,1976-05-05," May 5, 1976 ",47,"Livingston, New Jersey, U.S."
1365,Kenny Dillingham,Q96187452,1990-04-28," April 28, 1990 ",33,"Phoenix, Arizona, U.S."
1378,Justin Wilcox,Q6318274,1976-11-12," November 12, 1976 ",46,"Eugene, Oregon, U.S."
1394,Dan Lanning,Q98321763,1986-04-10," April 10, 1986 ",37,"North Kansas City, Missouri, U.S."
1408,Jonathan Smith,Q16980989,1979-01-18," January 18, 1979 ",44,"Pasadena, California, U.S."
1424,Chip Kelly,Q3196830,1963-11-25," November 25, 1963 ",59,"Dover, New Hampshire, U.S."
1439,Lincoln Riley,Q19665666,1983-09-05," September 5, 1983 ",40,"Lubbock, Texas, U.S."
1455,Kalen DeBoer,Q6352090,1974-10-24," October 24, 1974 ",48,"Milbank, South Dakota, U.S."
1468,Jake Dickert,Q108932686,1983-08-23," August 23, 1983 ",40,
1485,Nick Saban,Q70894,1951-10-31," October 31, 1951 ",71,"Fairmont, West Virginia, U.S."
1504,Sam Pittman,Q77892843,1961-11-28," November 28, 1961 ",61,"El Reno, Oklahoma, U.S."
1532,Hugh Freeze,Q5930861,1969-09-27," September 27, 1969 ",53,"Oxford, Mississippi, U.S."
1546,Billy Napier,Q45921905,1979-07-21," July 21, 1979 ",44,"Cookeville, Tennessee, U.S."
1560,Kirby Smart,Q6414956,1975-12-23," December 23, 1975 ",47,"Montgomery, Alabama, U.S."
1575,Mark Stoops,Q6769877,1967-07-09," July 9, 1967 ",56,"Youngstown, Ohio, U.S."
1589,Brian Kelly,Q4964312,1961-10-25," October 25, 1961 ",61,"Everett, Massachusetts, U.S."
1601,Lane Kiffin,Q3826815,1975-05-09," May 9, 1975 ",48,
1617,Zach Arnett,Q83986093,1986-09-10," September 10, 1986 ",36,"Albuquerque, New Mexico, U.S."
1626,Eliah Drinkwitz,Q59727693,1983-04-12," April 12, 1983 ",40,"Norman, Oklahoma, U.S."
1639,Shane Beamer,Q7487969,1977-03-31," March 31, 1977 ",46,"Charleston, South Carolina, U.S."
1659,Jimbo Fisher,Q16196005,1965-10-09," October 9, 1965 ",57,"Clarksburg, West Virginia, U.S."
1674,Clark Lea,Q97580933,1981-11-11," November 11, 1981 ",41,"Nashville, Tennessee, U.S."
1689,Shawn Clark,Q85800719,1975-08-16," August 16, 1975 ",48,"Charleston, West Virginia, U.S."
1690,Shawn Clark,Q85800719,1975-08-16," August 16, 1975 ",48,"Charleston, West Virginia, U.S."
1703,Butch Jones,Q5002395,1968-01-17," January 17, 1968 ",55,"Saugatuck, Michigan, U.S."
1704,Butch Jones,Q5002395,1968-01-17," January 17, 1968 ",55,"Saugatuck, Michigan, U.S."
1728,Tim Beck,Q7803156,1966-03-14," March 14, 1966 ",57,"Youngstown, Ohio, U.S."
1750,Clay Helton,Q16213987,1972-06-24," June 24, 1972 ",51,"Gainesville, Florida, U.S."
1769,Shawn Elliott,Q22095935,1973-06-26," June 26, 1973 ",50,"Camden, South Carolina, U.S."
1780,Curt Cignetti,Q5195359,1961-06-02," June 2, 1961 ",62,"Pittsburgh, Pennsylvania, U.S."
1794,Michael Desormeaux,Q14950070,1985-09-29," September 29, 1985 ",37,"New Iberia, Louisiana, U.S."
1807,Terry Bowden,Q7704134,1956-02-25," February 25, 1956 ",67,"Douglas, Georgia, U.S."
1820,Charles Huff,Q99522153,1983-04-26," April 26, 1983 ",40,"Denton, Maryland, U.S."
1837,Ricky Rahne,Q49982522,1980-07-19," July 19, 1980 ",43,"Morrison, Colorado, U.S."
1851,Kane Wommack,Q61158201,1987-04-19," April 19, 1987 ",36,"Springfield, Missouri, U.S."
1866,Will Hall,Q8002843,1980-05-10," May 10, 1980 ",43,"Amory, Mississippi, U.S."
1888,Jon Sumrall,Q109679821,1982-07-05," July 5, 1982 ",41,"Huntsville, Alabama, U.S."
